District,Murder,"Hurt 
",Assault on Women,"Kidnapping and Abduction 
",Rape,Unlawful Assembly,"Theft 
","Burglary 
","Forgery, Cheating & Fraud ",Offences Relating to Documents & Property Marks ,"Rash Driving on Public way 
",Criminal Trespass 
Rewari,41,163,105,78,54,0,711,225,97,97,309,68
Rohtak,76,148,185,202,70,0,1249,495,503,503,269,113
Sirsa,37,260,82,118,66,0,505,410,152,156,160,157
Sonipat,111,308,136,258,80,0,999,307,246,246,311,138
Yamunanagar,36,234,118,193,102,0,1021,555,166,167,222,91
Irrigation & Power,0,0,0,0,0,0,0,0,0,0,0,0
Charkhi Dadri,19,94,24,19,18,0,114,103,27,28,74,27
Hansi,17,146,40,31,18,0,289,156,95,95,101,40
Baddi,8,112,24,21,18,0,54,29,51,51,104,38
Bilaspur,4,425,47,22,23,0,17,16,20,20,106,129
Chamba,8,263,39,17,22,0,7,16,30,30,51,84
CID,1,0,0,0,0,0,0,0,0,0,0,0
GRP,0,1,0,0,0,0,2,0,0,0,0,0
Hamirpur,4,389,38,14,6,1,11,11,19,19,88,84
Kangra,14,732,93,49,47,4,43,52,67,67,255,206
Kinnaur,6,53,6,6,5,0,6,4,6,6,12,9
Kullu,6,244,45,31,31,2,22,9,45,45,160,102
Lahaul & Spiti,0,6,0,0,2,1,2,0,0,0,10,1
Mandi,11,1094,87,70,41,2,30,29,45,45,225,227
Shimla,9,419,68,66,54,25,65,61,100,100,301,153
Sirmaur,6,57,41,18,44,1,29,19,18,18,155,72
Solan,7,51,24,20,16,3,30,16,20,20,95,52
Una,7,104,26,9,22,0,29,13,23,23,128,60
Cyber,0,0,0,0,0,0,0,0,0,0,0,0
Bokaro,56,788,25,224,70,24,411,90,43,43,30,0
Chaibasa,102,100,30,22,47,0,165,17,38,39,55,1
Chatra,56,928,24,38,30,0,231,35,58,58,52,0
Deoghar,50,168,369,70,44,3,599,110,99,101,77,0
Dhanbad,76,524,113,98,76,8,1220,223,171,171,165,0
Dhanbad Railway,3,13,2,1,0,0,162,1,2,2,1,0
Dumka,54,395,72,28,29,0,352,35,23,23,69,16
Garhwa,82,690,180,82,70,0,266,52,100,100,88,0
Giridih,78,715,71,122,49,5,437,67,153,153,41,0
Godda,56,55,30,84,45,0,255,39,80,80,34,0
Gumla,115,109,5,48,91,0,223,28,49,49,52,38
Hazaribagh,89,1143,37,45,121,0,558,104,280,280,82,0
Jamshedpur,99,1480,62,109,104,0,720,88,403,403,0,0
Jamshedpur Railway,1,3,2,0,0,0,55,0,0,0,0,0
Jamtara,26,161,21,27,13,3,143,22,30,30,43,17
Khunti,73,20,6,25,33,0,108,19,0,0,39,0
Koderma,32,565,8,27,13,0,101,21,40,40,0,0
Latehar,55,140,31,23,48,2,99,26,65,65,29,1
Lohardagga,28,116,4,29,37,0,84,48,50,50,30,0
Pakur,27,183,9,41,39,0,137,12,37,37,18,0
Palamu,106,954,90,69,56,1,486,54,111,111,55,18
Ramgarh,26,128,41,41,33,1,215,52,71,71,50,0
Ranchi,149,62,81,205,157,0,1907,375,643,643,189,0
Sahebganj,60,603,27,62,72,0,234,46,136,136,32,0
Saraikela,39,186,18,34,23,0,258,61,81,82,61,4
Simdega,54,20,0,10,21,0,44,6,12,12,40,0
Bagalkot,36,147,139,30,10,0,171,58,65,65,420,14
Bengaluru City,179,2308,561,712,108,0,5332,911,1962,1970,2666,307
Bengaluru District,71,486,128,144,14,0,798,197,265,265,1319,112
Belagavi District,82,552,231,58,31,0,293,110,103,105,1026,42
Ballari,52,322,152,69,29,28,412,142,134,136,662,57
Bidar,25,622,77,33,5,0,192,105,31,32,865,34
Vijayapura,77,285,134,55,2,0,244,77,70,71,448,29
Chikkaballapura,27,461,60,44,20,0,165,72,83,83,368,26
Chamarajnagar,25,285,138,15,15,0,77,47,21,21,383,9
Chikkamagaluru,28,490,143,59,10,0,238,87,73,75,590,31
Chitradurga,26,377,239,60,13,0,209,93,66,66,1119,21
Dakshina Kannada,11,215,45,14,6,0,95,71,46,46,553,16
Davanagere,25,238,144,51,20,0,353,111,106,107,709,28
Dharwad,14,105,18,12,4,0,46,28,29,29,272,10
Gadag,14,88,35,20,5,0,69,45,19,19,186,4
Kalaburgi,38,406,158,28,21,0,219,66,20,20,579,26
Hassan,61,872,240,92,19,0,207,129,90,91,1412,41
Haveri,26,270,89,25,10,0,222,82,54,55,460,12
Hubballi Dharwad City,15,169,24,25,5,0,243,90,57,57,255,13
K.G.F.,15,163,24,11,3,0,41,34,28,28,100,1
Kodagu,28,322,44,32,9,0,104,73,35,35,325,27
Kolar,29,351,72,46,10,0,117,59,51,51,366,35
Koppal,16,142,103,23,8,0,208,52,71,71,314,49
Mandya,55,1126,281,96,13,0,409,190,107,107,1368,70
Mangaluru City,18,229,55,25,15,0,214,89,123,126,578,22
Mysuru City,27,353,71,49,16,0,324,80,154,154,518,36
Mysuru District,41,730,217,68,11,0,281,164,92,92,1006,53
Raichur,39,330,161,30,12,0,223,51,95,95,362,37
K.Railways,10,16,8,3,0,0,608,4,13,13,2,0
Ramanagara,40,607,148,62,11,0,436,185,148,148,961,85
Shimoga,41,733,250,85,8,0,312,160,109,109,1000,55
Tumakuru,48,663,167,84,8,0,389,192,111,111,1510,72
Udupi,9,181,70,17,11,0,67,45,110,110,813,24
Uttara Kannada,10,336,124,30,5,0,77,102,29,29,691,15
Yadgiri,23,174,142,13,12,0,124,25,24,24,271,29
Belagavi City,23,138,25,19,2,0,180,82,63,63,312,9
Kalaburgi City,27,122,34,14,3,4,172,83,42,42,312,15
Alapuzha,13,1324,268,18,32,191,104,65,315,315,6230,260
Ernakulam Commr.,9,526,178,15,43,340,203,59,477,477,2169,46
Ernakulam Rural,13,1158,267,21,47,3,152,99,331,331,9268,434
Idukki,28,1272,202,9,27,30,117,53,199,201,2295,42
Kannur,18,698,134,9,36,0,90,114,220,221,1451,169
Kasargod,16,537,134,15,46,80,82,70,52,52,1415,46
Kollam Commr.,23,675,170,13,24,0,102,62,954,954,2641,74
Kollam Rural,18,654,246,16,28,0,79,40,983,983,2839,65
Kottayam,22,943,163,22,26,241,115,75,304,306,11253,55
Kozhikode Commr.,5,445,126,12,24,56,147,129,290,291,1559,45
Kozhikode Rural,7,753,275,18,26,3,91,101,112,112,1884,196
Malappuram,18,1171,406,31,49,223,216,161,290,293,1815,98
Palakkad,29,1121,169,23,48,42,136,121,235,240,2919,25
Pathanamthitta,14,857,179,6,30,3,56,64,2096,2098,6204,22
Railways,1,13,11,1,0,0,70,1,1,1,2,0
Thrissur Commr.,18,807,132,10,28,331,146,75,627,627,2495,52
Thrissur Rural,13,905,222,15,26,294,83,56,269,270,1934,29
Trivandrum Commr.,7,677,142,16,24,104,181,82,543,545,6077,15
Trivandrum Rural,26,1260,371,21,44,294,194,128,436,438,3548,22
Wayanadu,6,440,94,16,27,45,54,64,94,96,1119,3
Crime Branch,2,2,1,0,2,0,0,0,165,165,0,0
Agar,7,866,49,17,3,0,134,43,12,12,188,9
Alirajpur,40,710,15,83,29,0,118,21,11,11,232,23
Anuppur,30,1051,60,87,46,0,163,98,30,30,216,6
Ashok Nagar,34,2134,92,67,30,0,216,134,26,26,413,8
Balaghat,53,2347,115,169,69,0,276,169,27,27,515,54
Barwani,36,1330,83,54,35,0,243,85,38,38,640,25
Betul,49,1868,85,179,48,0,236,106,15,17,633,68
Bhind,38,2804,67,114,21,0,437,212,60,60,489,155
Bhopal,67,3791,215,386,120,1,1555,638,299,322,1911,133
Bhopal Railway,1,11,3,9,4,0,950,4,1,2,8,0
Burhanpur,15,969,61,35,16,0,128,35,23,23,207,21
Chhatarpur,67,3443,158,173,52,0,321,234,38,38,481,7
Chhindwara,69,911,81,135,53,0,291,87,29,29,793,47
Damoh,37,2517,109,166,34,0,152,134,34,35,482,32
Datia,32,473,65,57,15,0,210,52,54,54,268,74
Dewas,30,3441,138,112,30,0,578,115,44,45,847,33
Dhar,70,2546,135,288,82,0,769,149,64,65,1326,82
Dindori,21,1035,49,85,32,0,54,38,15,15,390,67
Guna,33,3033,182,130,65,0,499,274,41,41,552,76
Gwalior,67,959,287,244,162,0,1780,737,247,247,1472,247
Harda,16,1144,59,40,27,0,188,43,27,27,217,0
Hoshangabad,38,1930,127,115,53,0,462,121,30,30,534,131
Indore,83,4943,285,555,147,0,3170,553,279,285,2589,132
Indore Railway,0,2,2,0,0,0,192,0,2,2,0,0
Jabalpur,82,5327,221,270,116,0,757,378,126,126,2784,82
Jabalpur Railway,0,3,4,1,1,0,412,0,1,1,3,0
Jhabua,24,167,21,76,16,0,127,31,10,10,519,14
Katni,32,2306,60,138,24,0,149,106,44,44,672,6
Khandwa,44,178,128,108,28,0,183,99,20,20,479,3
Khargone,34,1780,153,143,48,0,511,121,39,39,583,16
Mandla,40,169,30,133,21,0,103,66,16,16,602,28
Mandsaur,26,93,80,82,23,0,673,92,46,48,412,11
Morena,61,2152,94,120,46,0,533,149,57,57,679,5
Narsinghpur,24,1492,49,99,27,0,236,64,7,7,448,37
Neemuch,14,942,26,42,11,0,134,53,21,22,228,5
Panna,34,451,94,140,23,0,98,98,35,35,400,19
Raisen,32,1699,89,207,51,0,250,211,29,29,601,98
Rajgarh,26,833,131,101,57,0,265,90,24,24,640,72
Ratlam,29,334,116,158,43,0,323,107,77,77,915,9
Rewa,82,1380,121,308,49,0,1160,657,119,120,996,95
Sagar,79,4442,189,286,74,0,386,180,55,57,790,235
Satna,63,988,100,279,51,0,430,229,57,59,1265,105
Seoni,39,439,68,157,36,0,200,91,34,34,572,8
Shahdol,43,2542,82,143,44,0,409,284,46,46,448,114
Shajapur,24,1552,91,39,33,0,252,75,22,22,296,54
Sheopur,14,806,35,27,13,0,113,35,10,10,136,0
Shivpuri,52,1011,122,134,69,0,330,129,94,95,748,5
Sidhi,36,261,39,147,18,0,213,138,35,35,554,69
Sehore,24,306,144,89,49,0,363,136,23,25,719,42
Singrauli,53,449,50,105,38,1,403,102,23,23,421,72
Tikamgarh,27,1899,77,90,24,0,206,46,31,32,267,62
Ujjain,57,1971,236,185,65,0,843,171,114,115,1068,68
Umaria,19,931,25,42,16,0,68,50,11,11,188,24
Vidisha,41,1694,125,129,42,0,383,187,28,29,710,17
Cyber Crime Cell,0,0,0,0,0,0,0,0,0,0,0,0
Niwari,13,105,56,42,10,0,81,31,14,14,156,60
Ahmednagar,89,1826,543,369,92,9,2128,569,218,220,685,139
Akola,41,1345,245,76,28,26,784,124,84,86,266,60
Amravati Commr.,24,722,235,87,53,59,844,224,128,128,310,93
Amravati Rural,64,1411,226,103,41,14,853,133,122,122,629,23
Aurangabad Commr.,25,895,198,141,45,28,1099,158,179,181,313,99
Aurangabad Rural,35,966,131,98,34,11,839,110,81,82,259,50
Beed,53,1233,248,91,50,40,686,217,103,104,264,79
Bhandara,19,486,88,71,15,16,519,121,60,60,252,46
Buldhana,48,2099,313,110,34,33,922,255,100,102,288,74
Chandrapur,54,1147,194,152,45,10,713,202,107,108,489,110
Dhule,38,433,80,98,14,15,529,141,76,77,361,34
Gadchiroli,27,303,55,32,17,4,193,84,41,41,96,24
Gondia,33,311,57,40,18,11,306,80,30,30,100,6
Hingoli,32,649,73,27,14,7,323,90,34,35,157,41
Jalgaon,58,901,259,187,29,29,1412,377,246,248,324,72
Jalna,37,1436,208,100,36,22,1215,288,170,170,276,121
Kolhapur,46,1020,263,150,51,35,880,287,220,222,455,142
Latur,37,1077,138,111,25,20,649,210,94,94,366,68
Mumbai Commr.,148,4126,1507,1173,322,16,6234,1645,3348,3355,1605,100
Mumbai Railway,3,45,46,7,1,3,7482,1,70,70,0,0
Nagpur Commr.,97,1082,219,334,79,19,2067,687,457,464,668,118
Nagpur Railway,1,9,8,4,1,0,618,0,1,1,2,0
Nagpur Rural,44,1161,159,104,34,8,1025,223,103,103,912,79
Nanded,63,1778,232,127,39,31,952,317,113,114,406,159
Nandurbar,31,255,44,57,17,0,311,83,38,38,86,12
Nasik Commr.,25,493,147,200,25,3,654,242,212,213,302,48
Nasik Rural,81,1227,237,273,34,13,967,273,315,316,569,33
Navi Mumbai,41,466,158,217,57,0,1298,301,500,500,360,27
Osmanabad,35,847,123,87,20,4,455,161,80,80,299,43
Palghar,29,422,83,71,30,6,233,141,92,92,158,31
Parbhani,35,1227,139,65,32,12,682,179,92,94,243,139
Pune Commr.,77,1049,192,435,59,6,1563,345,445,447,1188,28
Pune Railway,1,5,1,2,1,0,816,0,8,8,0,0
Pune Rural,102,1704,493,363,81,18,2177,435,307,309,600,203
Raigad,21,334,77,73,18,120,388,100,140,141,246,40
Ratnagiri,17,250,53,43,10,6,233,84,113,113,200,24
Sangli,55,1344,250,228,38,16,1096,403,197,197,483,98
Satara,53,1017,275,192,49,13,1024,319,182,183,372,101
Sindhudurg,5,241,53,18,6,2,106,55,45,48,117,26
Solapur Commr.,13,283,103,84,19,4,502,179,143,144,103,54
Solapur Rural,69,2154,346,192,74,12,1742,389,144,145,531,119
Thane Commr.,87,1445,299,589,81,0,2265,641,590,593,460,67
Thane Rural,20,440,84,99,23,2,280,134,94,94,225,36
Wardha,38,1394,197,113,24,4,572,121,88,88,425,103
Washim,35,855,163,66,24,16,330,75,39,39,151,25
